id,title,is_paid,num_subscribers,avg_rating,num_reviews,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,price_detail__currency
1154754,Financial Modeling for Startups & Small Businesses,TRUE,56552,4.36765,2421,91,0,455.0,8640.0,INR
170840,How to Write the Ultimate 1 Page Strategic Business Plan,TRUE,58044,4.43056,2403,11,0,455.0,1280.0,INR
170844,Leadership - The #1 Key to Guaranteed Business Success,TRUE,50047,4.07692,2381,13,0,455.0,1280.0,INR
1239906,OKR Goal Setting 101 - Achieve more goals than ever! Faster!,TRUE,7130,4.46614,2360,33,0,455.0,6400.0,INR
1411696,Digital Diversity/Cyber-Citizen/Cross Cultural Communication,TRUE,4122,4.34501,2355,41,0,455.0,1600.0,INR
1854668,The Complete Storytelling Course for Speaking & Presenting,TRUE,26148,4.37712,2340,600,0,488.0,9280.0,INR
936952,"Logistics and Supply Chains - Fundamentals,Design,Operations",TRUE,12535,4.25392,2324,252,0,455.0,8640.0,INR
2253870,Comparing Agile vs Waterfall Project Management,TRUE,4488,4.40909,2322,26,0,455.0,6400.0,INR
616958,How to come up with killer business ideas: complete workshop,TRUE,68110,4.40132,2319,78,0,455.0,8640.0,INR
561594,Work From Home: The Amazon FBA MasterPlan,TRUE,93749,4.17778,2309,41,0,455.0,6080.0,INR
564552,Operations and Supply Chain Management,TRUE,7355,4.12662,2299,21,0,455.0,8640.0,INR
1097966,Service Design: Designing for Experience Over Time,TRUE,5920,4.24384,2281,7,0,,2880.0,INR
846186,How to be more productive working from home,TRUE,7816,4.4663,2283,17,0,455.0,1600.0,INR
2365836,Elasticsearch 7 and the Elastic Stack - In Depth & Hands On!,TRUE,14725,4.52475,2277,123,0,455.0,8640.0,INR
1123940,Think Like a Leader with Brian Tracy,TRUE,12113,4.49656,2268,62,0,,12800.0,INR
1426934,Mastering Collaboration: Work together for the best results,TRUE,14938,4.22952,2264,17,0,455.0,6400.0,INR
1556346,Effective Delegation for New Managers,TRUE,5245,4.55323,2254,15,0,455.0,1920.0,INR
715716,2019 Blog Blueprint: How To Turn Blogging Into A Career,TRUE,19030,4.22131,2233,50,0,455.0,8640.0,INR
2382715,The Complete Tableau Bootcamp for Data Visualization,TRUE,11736,4.56774,2243,125,0,455.0,8640.0,INR
713258,Bookkeeping Basics #1:  Understand the Fundamentals,TRUE,10905,4.46429,2211,48,0,455.0,4800.0,INR
2105094,"Beginner's Guide to Data & Data Analytics, by SF Data School",TRUE,6173,4.34411,2216,9,0,455.0,3200.0,INR
189116,Team Leadership & Management Skills 2020 - LEAN TEAM KATA,TRUE,14849,4.52747,2201,93,0,455.0,8640.0,INR
647410,Business Process Modeling A-Z™: Learn BPMN 2.0 From Scratch,TRUE,12236,4.35673,2201,32,0,455.0,8640.0,INR
310716,Start & Run a Successful Web Design Business in 2020,TRUE,22613,4.66129,2187,79,0,455.0,8640.0,INR
379374,Learn HR Fundamentals for a Career in Human Resources,TRUE,5604,4.39886,2187,17,0,,6400.0,INR
34268,QMS Auditor / Lead Auditor Course,TRUE,7119,4.56776,2183,43,0,520.0,9280.0,INR
505136,Practical Project Management for Managers and First Time PMs,TRUE,11048,4.375,2179,31,0,481.0,6400.0,INR
1047330,How To Be Hyper Productive When Working From Home Off-Site,TRUE,6184,4.5246,2186,19,0,455.0,4800.0,INR
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,TRUE,10254,4.62903,2176,61,0,455.0,8640.0,INR
1535430,Introduction to Human Resource Management,TRUE,15966,4.19737,2171,17,0,455.0,1280.0,INR
637932,101 Crucial Lessons They Don't Teach You In Business School,TRUE,67181,4.43866,2149,66,0,455.0,8640.0,INR
285638,Guide to Stock Trading with Candlestick & Technical Analysis,TRUE,44208,4.54703,2149,66,0,500.0,9280.0,INR
